estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
513,327,32,"(200, 300)","(2, 128)",1900,0.7383435039488635,12.669438845700029,GTI_BW
514,327,32,"(200, 300)","(4, 2)",7500,2.305496143939394,4.057433752379292,Compute
515,327,32,"(200, 300)","(4, 4)",3750,1.2497982299999997,7.484726450924807,Compute
516,327,32,"(200, 300)","(4, 8)",1900,0.7383435039488635,12.669438845700029,GTI_BW
517,327,32,"(200, 300)","(4, 16)",1900,0.7383435039488635,12.669438845700029,GTI_BW
518,327,32,"(200, 300)","(4, 32)",1900,0.7383435039488635,12.669438845700029,GTI_BW
519,327,32,"(200, 300)","(4, 64)",1900,0.7383435039488635,12.669438845700029,GTI_BW
520,327,32,"(200, 300)","(8, 1)",7500,2.305496143939394,4.057433752379292,Compute
521,327,32,"(200, 300)","(8, 2)",3750,1.2497982299999997,7.484726450924807,Compute
522,327,32,"(200, 300)","(8, 4)",1875,0.7395254403124999,12.649190089318811,GTI_BW
523,327,32,"(200, 300)","(8, 8)",1875,0.7395254403124999,12.649190089318811,GTI_BW
524,327,32,"(200, 300)","(8, 16)",1875,0.7395254403124999,12.649190089318811,GTI_BW
525,327,32,"(200, 300)","(8, 32)",1875,0.7395254403124999,12.649190089318811,GTI_BW
526,327,32,"(200, 300)","(16, 1)",3900,1.2467251954545453,7.503175442756229,Compute
527,327,32,"(200, 300)","(16, 2)",1950,0.7364524057670453,12.701972044828906,GTI_BW
528,327,32,"(200, 300)","(16, 4)",1875,0.7395254403124999,12.649190089318811,GTI_BW
529,327,32,"(200, 300)","(16, 8)",1875,0.7395254403124999,12.649190089318811,GTI_BW
530,327,32,"(200, 300)","(16, 16)",1875,0.7395254403124999,12.649190089318811,GTI_BW
531,327,32,"(200, 300)","(32, 1)",2100,0.7321974348579544,12.775786181516393,GTI_BW
532,327,32,"(200, 300)","(32, 2)",1950,0.7364524057670453,12.701972044828906,GTI_BW
533,327,32,"(200, 300)","(32, 4)",1875,0.7395254403124999,12.649190089318811,GTI_BW
534,327,32,"(200, 300)","(32, 8)",1875,0.7395254403124999,12.649190089318811,GTI_BW
535,327,32,"(200, 300)","(64, 1)",2100,0.7321974348579544,12.775786181516393,GTI_BW
536,327,32,"(200, 300)","(64, 2)",1950,0.7364524057670453,12.701972044828906,GTI_BW
537,327,32,"(200, 300)","(64, 4)",1875,0.7395254403124999,12.649190089318811,GTI_BW
538,327,32,"(200, 300)","(128, 1)",2100,0.7321974348579544,12.775786181516393,GTI_BW
539,327,32,"(200, 300)","(128, 2)",1950,0.7364524057670453,12.701972044828906,GTI_BW
540,327,32,"(200, 300)","(256, 1)",2100,0.7321974348579544,12.775786181516393,GTI_BW
541,327,8,"(200,)","(8,)",25,5.49154697,1.7034176201173425,"Trip_Count, Latencies"
542,327,8,"(200, 300)","(1, 8)",7600,0.900032398494318,10.393401266497918,GTI_BW
543,327,8,"(200,)","(16,)",25,5.49154697,1.7034176201173425,"Trip_Count, Latencies"
544,327,8,"(200, 300)","(1, 16)",7600,0.900032398494318,10.393401266497918,GTI_BW
545,327,8,"(200,)","(32,)",25,5.49154697,1.7034176201173425,"Trip_Count, Latencies"
546,327,8,"(200, 300)","(1, 32)",7600,0.900032398494318,10.393401266497918,GTI_BW
547,327,8,"(200,)","(64,)",25,5.49154697,1.7034176201173425,"Trip_Count, Latencies"
548,327,8,"(200, 300)","(1, 64)",7600,0.900032398494318,10.393401266497918,GTI_BW
549,327,8,"(200,)","(128,)",25,6.760244379090909,1.3837366440971688,"Trip_Count, Latencies"
550,327,8,"(200, 300)","(1, 128)",7600,0.900032398494318,10.393401266497918,GTI_BW
551,327,8,"(200,)","(256,)",25,9.297639197272728,1.0061046327915073,Trip_Count
552,327,8,"(200, 300)","(1, 256)",7600,0.900032398494318,10.393401266497918,GTI_BW
553,327,8,"(200, 300)","(2, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
554,327,8,"(200, 300)","(2, 8)",7500,0.9031054330397726,10.358035206270358,GTI_BW
555,327,8,"(200, 300)","(2, 16)",7500,0.9031054330397726,10.358035206270358,GTI_BW
556,327,8,"(200, 300)","(2, 32)",7500,0.9031054330397726,10.358035206270358,GTI_BW
557,327,8,"(200, 300)","(2, 64)",7500,0.9031054330397726,10.358035206270358,GTI_BW
558,327,8,"(200, 300)","(2, 128)",7500,0.9031054330397726,10.358035206270358,GTI_BW
559,327,8,"(200, 300)","(4, 2)",7500,0.9031054330397726,10.358035206270358,GTI_BW
560,327,8,"(200, 300)","(4, 4)",7500,0.9031054330397726,10.358035206270358,GTI_BW
